Date,Open,High,Low,Close,Adj Close,Volume,SMA_5,SMA_10,EMA_5,EMA_10
29-09-2010,4.238,4.406,4.226,4.396,4.396,9846500,4.142799999999999,4.1288,4.219881028857916,4.166686422647322
30-09-2010,4.4,4.43,4.038,4.082,4.082,10979000,4.1768,4.1182,4.173920685905277,4.1512888912568995
01-10-2010,4.138,4.15,4.062,4.12,4.12,2988500,4.1968,4.1256,4.155947123936852,4.1456000019374635
04-10-2010,4.086,4.234,4.06,4.198,4.198,3218000,4.2152,4.1242,4.1699647492912355,4.15512727431247
05-10-2010,4.23,4.256,4.202,4.224,4.224,1660000,4.204,4.131200000000001,4.18797649952749,4.1676495880738385
06-10-2010,4.212,4.252,4.064,4.092,4.092,1567000,4.1432,4.143,4.155984333018328,4.153895117514958
07-10-2010,4.114,4.128,4.068,4.086,4.086,705000,4.144,4.1604,4.132656222012219,4.141550550694056
08-10-2010,4.086,4.158,4.078,4.086,4.086,1339000,4.1372,4.167,4.1171041480081465,4.131450450567864
11-10-2010,4.088,4.14,4.014,4.048,4.048,856000,4.107200000000001,4.1612,4.094069432005432,4.116277641373706
12-10-2010,4.04,4.056,4.006,4.048,4.048,1220000,4.072,4.138,4.078712954670288,4.103863524760305
13-10-2010,4.128,4.17,4.072,4.108,4.108,1591000,4.075200000000001,4.1091999999999995,4.088475303113525,4.104615611167522
14-10-2010,4.2,4.206,4.08,4.15,4.15,1474000,4.087999999999999,4.116,4.108983535409017,4.1128673182279725
15-10-2010,4.178,4.18,4.05,4.108,4.108,1423500,4.0924,4.114800000000001,4.108655690272678,4.111982351277431
18-10-2010,4.104,4.128,4.044,4.046,4.046,814000,4.0920000000000005,4.099600000000001,4.087770460181786,4.09998556013608
19-10-2010,4.04,4.082,4.0,4.01,4.01,1226000,4.0844000000000005,4.0782,4.061846973454524,4.083624549202247
20-10-2010,4.032,4.138,4.008,4.13,4.13,1562500,4.0888,4.082,4.084564648969683,4.092056449347292
21-10-2010,4.122,4.19,4.09,4.15,4.15,2085500,4.0888,4.0884,4.106376432646456,4.102591640375057
22-10-2010,4.136,4.186,4.11,4.144,4.144,805500,4.096,4.0942,4.118917621764304,4.110120433034138
25-10-2010,4.188,4.196,4.146,4.17,4.17,592500,4.1208,4.1064,4.135945081176203,4.1210076270279306
26-10-2010,4.16,4.374,4.102,4.272,4.272,3304500,4.1732,4.1288,4.181296720784136,4.148460785750125
27-10-2010,4.25,4.276,4.13,4.2,4.2,1782500,4.1872,4.138,4.187531147189424,4.157831551977374
28-10-2010,4.278,4.3,4.192,4.238,4.238,1121000,4.2048000000000005,4.146800000000001,4.2043540981262835,4.172407633436033
29-10-2010,4.228,4.37,4.21,4.368,4.368,1403000,4.2496,4.1728000000000005,4.25890273208419,4.207969881902208
01-11-2010,4.388,4.55,4.262,4.282,4.282,2279000,4.272,4.1964,4.26660182138946,4.221429903374534
02-11-2010,4.336,4.376,4.21,4.25,4.25,1612500,4.2676,4.2204,4.261067880926307,4.226624466397346
03-11-2010,4.256,4.5,4.232,4.354,4.354,1863000,4.298399999999999,4.2428,4.292045253950871,4.2497836543251015
04-11-2010,4.52,5.066,4.43,4.98,4.98,9370000,4.4468000000000005,4.3258,4.521363502633914,4.382550262629628
05-11-2010,4.974,4.994,4.744,4.888,4.888,5055000,4.550800000000001,4.4002,4.64357566842261,4.474450214878787
08-11-2010,4.9,5.0,4.806,4.996,4.996,2547500,4.693600000000001,4.4828,4.761050445615074,4.569277448537189
09-11-2010,5.0,5.138,4.81,4.926,4.926,4782000,4.8288,4.5482000000000005,4.8160336304100495,4.6341360942577
10-11-2010,4.896,5.994,4.81,5.872,5.872,15302500,5.1324,4.715400000000001,5.168022420273367,4.859202258938118
11-11-2010,5.72,5.82,5.466,5.608,5.608,9726500,5.258000000000001,4.8524,5.314681613515578,4.99534730276755
12-11-2010,5.65,6.1,5.614,5.968,5.968,13645500,5.474,5.0124,5.532454409010386,5.172193247718905
15-11-2010,6.044,6.588,6.044,6.16,6.16,13114500,5.7068,5.200200000000001,5.741636272673591,5.351794475406376
16-11-2010,6.2,6.28,5.684,5.934,5.934,6738000,5.9084,5.368600000000001,5.805757515115728,5.45765002533249
17-11-2010,6.04,6.15,5.722,5.898,5.898,3750000,5.9136,5.523000000000001,5.836505010077152,5.537713657090219
18-11-2010,6.134,6.148,5.784,5.978,5.978,4780500,5.9876,5.6228,5.883670006718102,5.617765719437452
19-11-2010,6.032,6.274,5.94,6.198,6.198,5752500,6.0336,5.7538,5.988446671145402,5.723262861357916
22-11-2010,6.314,6.69,6.3,6.68,6.68,7648500,6.1376,5.9222,6.2189644474302685,5.897215068383749
23-11-2010,6.658,7.136,6.438,6.914,6.914,7889000,6.3336,6.1209999999999996,6.450642964953513,6.08208505595034
24-11-2010,7.054,7.194,6.866,7.094,7.094,7125000,6.572800000000001,6.2432,6.665095309969009,6.266069591232096
26-11-2010,7.12,7.2,6.95,7.064,7.064,1753000,6.790000000000001,6.3888,6.798063539979339,6.411147847371715
